*** COUNTS ***
6234×2 DataFrame
  Row │ PM          N
      │ String15    Int64
──────┼───────────────────
  611 │ 1964/12/01      7
  612 │ 1964/12/05      1
  613 │ 1964/12/15      1
  614 │ 1965/01/01     33
  615 │ 1965/01/04      1
  616 │ 1965/01/11      1
  617 │ 1965/01/15      2
  618 │ 1965/01/17      1
  619 │ 1965/01/22      1
  620 │ 1965/01/31      1
  621 │ 1965/02/01      7
  622 │ 1965/02/20      1
  623 │ 1965/02/22      1
  624 │ 1965/02/25      1
  625 │ 1965/03/01     11
  626 │ 1965/03/04      2
  627 │ 1965/03/06      1
  628 │ 1965/03/11      1
  629 │ 1965/03/15      1
  630 │ 1965/03/27      1
  631 │ 1965/04/01      7
  632 │ 1965/04/02      1
  633 │ 1965/04/03      1
  634 │ 1965/04/15      1
  635 │ 1965/05/01      9
  636 │ 1965/05/05      2
  637 │ 1965/05/22      1
  638 │ 1965/05/24      1
  639 │ 1965/06/01      3
  640 │ 1965/06/30      1
  641 │ 1965/07/01     12
  642 │ 1965/07/02      1
  643 │ 1965/07/11      1
  644 │ 1965/07/12      1
  645 │ 1965/07/30      2
  646 │ 1965/08/01      5
  647 │ 1965/08/05      1
  648 │ 1965/08/13      1
  649 │ 1965/08/15      1
  650 │ 1965/08/19      1
  651 │ 1965/08/25      1
  652 │ 1965/09/01      9
  653 │ 1965/09/03      1
  654 │ 1965/09/04      1
  655 │ 1965/09/08      1
  656 │ 1965/09/10      1
  657 │ 1965/09/30      2
  658 │ 1965/10/01     11
  659 │ 1965/10/21      1
  660 │ 1965/11/01      9
  661 │ 1965/11/27      1
  662 │ 1965/12/01      2
  663 │ 1965/12/04      1
  664 │ 1966/01/01     43
  665 │ 1966/01/15      1
  666 │ 1966/01/22      1
  667 │ 1966/01/27      1
  668 │ 1966/02/01      4
  669 │ 1966/02/15      1
  670 │ 1966/03/01      7
  671 │ 1966/03/11      1
  672 │ 1966/04/01      2
  673 │ 1966/04/02      1
  674 │ 1966/04/04      1
  675 │ 1966/04/09      1
  676 │ 1966/04/15      1
  677 │ 1966/04/16      1
  678 │ 1966/04/22      1
  679 │ 1966/05/01      4
  680 │ 1966/05/15      1
  681 │ 1966/05/16      1
  682 │ 1966/05/19      1
  683 │ 1966/06/01      6
  684 │ 1966/06/26      1
  685 │ 1966/06/30      1
  686 │ 1966/07/01      7
  687 │ 1966/07/09      1
  688 │ 1966/07/22      1
  689 │ 1966/07/23      1
  690 │ 1966/08/01      3
  691 │ 1966/08/11      1
  692 │ 1966/08/12      1
  693 │ 1966/09/01      8
  694 │ 1966/09/08      1
  695 │ 1966/09/09      2
  696 │ 1966/09/24      1
  697 │ 1966/09/30      1
  698 │ 1966/10/01      7
  699 │ 1966/10/13      1
  700 │ 1966/10/20      1
  701 │ 1966/10/27      1
  702 │ 1966/10/29      1
  703 │ 1966/11/01      9
  704 │ 1966/11/03      1
  705 │ 1966/11/04      1
  706 │ 1966/11/16      1
  707 │ 1966/12/01      6
  708 │ 1967/01/01     42
  709 │ 1967/01/06      1
  710 │ 1967/01/15      1
  711 │ 1967/01/24      1
  712 │ 1967/01/28      1
  713 │ 1967/01/30      1
  714 │ 1967/02/01     10
  715 │ 1967/02/02      1
  716 │ 1967/02/20      1
  717 │ 1967/02/23      1
  718 │ 1967/02/24      1
  719 │ 1967/03/01      7
  720 │ 1967/03/10      1
  721 │ 1967/03/14      1
  722 │ 1967/03/15      2
  723 │ 1967/03/18      1
  724 │ 1967/03/31      1
  725 │ 1967/04/01      8
  726 │ 1967/04/22      1
  727 │ 1967/05/01      5
  728 │ 1967/05/12      1
  729 │ 1967/06/01      8
  730 │ 1967/06/05      1
  731 │ 1967/06/23      2
  732 │ 1967/07/01      9
  733 │ 1967/07/17      1
  734 │ 1967/07/28      1
  735 │ 1967/07/29      1
  736 │ 1967/08/01      6
  737 │ 1967/08/05      1
  738 │ 1967/08/25      1
  739 │ 1967/09/01     13
  740 │ 1967/09/09      1
  741 │ 1967/09/11      1
  742 │ 1967/09/14      1
  743 │ 1967/09/21      1
  744 │ 1967/10/01      6
  745 │ 1967/10/06      1
  746 │ 1967/10/09      1
  747 │ 1967/10/20      1
  748 │ 1967/10/27      1
  749 │ 1967/11/01      8
  750 │ 1967/11/10      1
  751 │ 1967/11/11      1
  752 │ 1967/11/18      1
  753 │ 1967/12/01      9
  754 │ 1967/12/09      1
  755 │ 1967/12/15      1
  756 │ 1967/12/19      1
  757 │ 1967/12/21      2
  758 │ 1967/12/28      1
  759 │ 1968/01/01     47
  760 │ 1968/01/05      1
  761 │ 1968/01/15      1
  762 │ 1968/01/17      1
  763 │ 1968/02/01     14
  764 │ 1968/02/16      2
  765 │ 1968/03/01     12
  766 │ 1968/03/09      1
  767 │ 1968/03/15      2
  768 │ 1968/03/18      1
  769 │ 1968/03/22      1
  770 │ 1968/03/26      1
  771 │ 1968/03/29      1
  772 │ 1968/03/31      1
  773 │ 1968/04/01     15
  774 │ 1968/04/06      1
  775 │ 1968/04/13      1
  776 │ 1968/04/15      1
  777 │ 1968/05/01     11
  778 │ 1968/05/03      1
  779 │ 1968/05/06      1
  780 │ 1968/05/10      1
  781 │ 1968/05/18      1
  782 │ 1968/05/25      1
  783 │ 1968/05/31      1
  784 │ 1968/06/01      6
  785 │ 1968/06/07      1
  786 │ 1968/06/09      2
  787 │ 1968/06/15      1
  788 │ 1968/07/01      4
  789 │ 1968/07/20      1
  790 │ 1968/08/01      5
  791 │ 1968/08/15      1
  792 │ 1968/08/17      1
  793 │ 1968/08/30      2
  794 │ 1968/08/31      3
  795 │ 1968/09/01     10
  796 │ 1968/10/01      9
  797 │ 1968/10/04      1
  798 │ 1968/10/17      1
  799 │ 1968/10/18      3
  800 │ 1968/10/19      1
  801 │ 1968/11/01      8
  802 │ 1968/11/14      1
  803 │ 1968/11/30      2
  804 │ 1968/12/01      8
  805 │ 1968/12/14      1
  806 │ 1968/12/20      1
  807 │ 1968/12/27      1
  808 │ 1969/01/01     39
  809 │ 1969/01/15      1
  810 │ 1969/01/17      1
  811 │ 1969/01/20      1
  812 │ 1969/01/23      1
  813 │ 1969/01/31      3
  814 │ 1969/02/01      5
  815 │ 1969/02/15      1
  816 │ 1969/03/01     11
  817 │ 1969/04/01      5
  818 │ 1969/04/18      1
  819 │ 1969/04/24      1
  820 │ 1969/05/01     14
  821 │ 1969/05/02      2
  822 │ 1969/05/15      1
  823 │ 1969/05/23      1
  824 │ 1969/06/01      6
  825 │ 1969/06/05      1
  826 │ 1969/06/06      1
  827 │ 1969/06/18      1
  828 │ 1969/06/30      2
  829 │ 1969/07/01     17
  830 │ 1969/07/05      1
  831 │ 1969/07/15      1
  832 │ 1969/07/18      1
  833 │ 1969/07/25      1
  834 │ 1969/07/31      1
  835 │ 1969/08/01      9
  836 │ 1969/08/30      2
  837 │ 1969/09/01     10
  838 │ 1969/09/13      1
  839 │ 1969/09/15      1
  840 │ 1969/09/18      1
  841 │ 1969/10/01     13
  842 │ 1969/10/25      1
  843 │ 1969/11/01      8
  844 │ 1969/11/09      1
  845 │ 1969/11/14      1
  846 │ 1969/11/16      1
  847 │ 1969/11/21      2
  848 │ 1969/11/28      1
  849 │ 1969/12/01     11
  850 │ 1969/12/11      2
  851 │ 1969/12/15      2
  852 │ 1970/01/01     31
  853 │ 1970/01/02      1
  854 │ 1970/01/23      1
  855 │ 1970/01/29      2
  856 │ 1970/02/01      9
  857 │ 1970/02/14      1
  858 │ 1970/02/15      1
  859 │ 1970/02/21      1
  860 │ 1970/02/25      1
  861 │ 1970/03/01      5
  862 │ 1970/03/07      1
  863 │ 1970/03/20      1
  864 │ 1970/03/21      1
  865 │ 1970/03/24      1
  866 │ 1970/03/28      2
  867 │ 1970/04/01      6
  868 │ 1970/04/03      1
  869 │ 1970/04/11      1
  870 │ 1970/04/15      1
  871 │ 1970/05/01     10
  872 │ 1970/05/02      1
  873 │ 1970/05/08      1
  874 │ 1970/05/15      1
  875 │ 1970/05/16      1
  876 │ 1970/05/23      1
  877 │ 1970/05/30      1
  878 │ 1970/06/01      9
  879 │ 1970/06/06      1
  880 │ 1970/06/27      1
  881 │ 1970/07/01     11
  882 │ 1970/07/30      1
  883 │ 1970/08/01     11
  884 │ 1970/08/15      2
  885 │ 1970/08/21      1
  886 │ 1970/08/22      1
  887 │ 1970/08/31      1
  888 │ 1970/09/01     13
  889 │ 1970/09/10      1
  890 │ 1970/09/15      1
  891 │ 1970/09/18      1
  892 │ 1970/09/19      2
  893 │ 1970/10/01      7
  894 │ 1970/10/15      1
  895 │ 1970/10/24      1
  896 │ 1970/10/30      1
  897 │ 1970/11/01      9
  898 │ 1970/11/12      1
  899 │ 1970/11/28      1
  900 │ 1970/11/30      1
  901 │ 1970/12/01     10
  902 │ 1970/12/05      1
  903 │ 1970/12/19      1
  904 │ 1971/01/01     51
  905 │ 1971/02/01      8
  906 │ 1971/02/15      1
  907 │ 1971/02/20      1
  908 │ 1971/02/22      1
  909 │ 1971/02/25      1
  910 │ 1971/03/01      6
  911 │ 1971/03/06      1
  912 │ 1971/04/01      9
  913 │ 1971/04/10      1
  914 │ 1971/04/14      1
  915 │ 1971/04/16      1
  916 │ 1971/04/30      1
  917 │ 1971/05/01      8
  918 │ 1971/05/14      1
  919 │ 1971/06/01      9
