*** COUNTS ***
823×2 DataFrame
 Row │ PM          N
     │ String15    Int64
─────┼───────────────────
 414 │ 2021/03/09    433
 415 │ 2021/03/10    185
 416 │ 2021/03/11    248
 417 │ 2021/03/12    324
 418 │ 2021/03/13    282
 419 │ 2021/03/14    129
 420 │ 2021/03/15     60
 421 │ 2021/03/16    375
 422 │ 2021/03/17    270
 423 │ 2021/03/18    340
 424 │ 2021/03/19    339
 425 │ 2021/03/20    281
 426 │ 2021/03/21    181
 427 │ 2021/03/22     97
 428 │ 2021/03/23    404
 429 │ 2021/03/24    302
 430 │ 2021/03/25    310
 431 │ 2021/03/26    301
 432 │ 2021/03/27    293
 433 │ 2021/03/28    155
 434 │ 2021/03/29     87
 435 │ 2021/03/30    379
 436 │ 2021/03/31    235
 437 │ 2021/04/01    319
 438 │ 2021/04/02    323
 439 │ 2021/04/03    251
 440 │ 2021/04/04    605
 441 │ 2021/04/05     72
 442 │ 2021/04/06    440
 443 │ 2021/04/07    296
 444 │ 2021/04/08    233
 445 │ 2021/04/09    280
 446 │ 2021/04/10    254
 447 │ 2021/04/11    128
 448 │ 2021/04/12    104
 449 │ 2021/04/13    356
 450 │ 2021/04/14    235
 451 │ 2021/04/15    257
 452 │ 2021/04/16    307
 453 │ 2021/04/17    222
 454 │ 2021/04/18    138
 455 │ 2021/04/19     89
 456 │ 2021/04/20    418
 457 │ 2021/04/21    241
 458 │ 2021/04/22    289
 459 │ 2021/04/23    314
 460 │ 2021/04/24    235
 461 │ 2021/04/25    149
 462 │ 2021/04/26    108
 463 │ 2021/04/27    362
 464 │ 2021/04/28    248
 465 │ 2021/04/29    263
 466 │ 2021/04/30    336
 467 │ 2021/05/01    738
 468 │ 2021/05/02    134
 469 │ 2021/05/03     96
 470 │ 2021/05/04    367
 471 │ 2021/05/05    224
 472 │ 2021/05/06    332
 473 │ 2021/05/07    271
 474 │ 2021/05/08    267
 475 │ 2021/05/09    159
 476 │ 2021/05/10    109
 477 │ 2021/05/11    381
 478 │ 2021/05/12    295
 479 │ 2021/05/13    247
 480 │ 2021/05/14    314
 481 │ 2021/05/15    276
 482 │ 2021/05/16    105
 483 │ 2021/05/17    109
 484 │ 2021/05/18    494
 485 │ 2021/05/19    257
 486 │ 2021/05/20    289
 487 │ 2021/05/21    275
 488 │ 2021/05/22    307
 489 │ 2021/05/23    156
 490 │ 2021/05/24     74
 491 │ 2021/05/25    369
 492 │ 2021/05/26    228
 493 │ 2021/05/27    293
 494 │ 2021/05/28    368
 495 │ 2021/05/29    329
 496 │ 2021/05/30    146
 497 │ 2021/05/31     93
 498 │ 2021/06/01    317
 499 │ 2021/06/02    228
 500 │ 2021/06/03    845
 501 │ 2021/06/04    310
 502 │ 2021/06/05    293
 503 │ 2021/06/06    181
 504 │ 2021/06/07    100
 505 │ 2021/06/08    383
 506 │ 2021/06/09    268
 507 │ 2021/06/10    334
 508 │ 2021/06/11    318
 509 │ 2021/06/12    275
 510 │ 2021/06/13    139
 511 │ 2021/06/14     95
 512 │ 2021/06/15    351
 513 │ 2021/06/16    229
 514 │ 2021/06/17    258
 515 │ 2021/06/18    282
 516 │ 2021/06/19    262
 517 │ 2021/06/20    163
 518 │ 2021/06/21     77
 519 │ 2021/06/22    384
 520 │ 2021/06/23    243
 521 │ 2021/06/24    264
 522 │ 2021/06/25    259
 523 │ 2021/06/26    265
 524 │ 2021/06/27    272
 525 │ 2021/06/28     82
 526 │ 2021/06/29    464
 527 │ 2021/06/30    271
 528 │ 2021/07/01    545
 529 │ 2021/07/02    310
 530 │ 2021/07/03    899
 531 │ 2021/07/04    127
 532 │ 2021/07/05    100
 533 │ 2021/07/06    437
 534 │ 2021/07/07    296
 535 │ 2021/07/08    353
 536 │ 2021/07/09    230
 537 │ 2021/07/10    296
 538 │ 2021/07/11    159
 539 │ 2021/07/12     91
 540 │ 2021/07/13    365
 541 │ 2021/07/14    255
 542 │ 2021/07/15    308
 543 │ 2021/07/16    249
 544 │ 2021/07/17    288
 545 │ 2021/07/18    173
 546 │ 2021/07/19     96
 547 │ 2021/07/20    322
 548 │ 2021/07/21    197
 549 │ 2021/07/22    312
 550 │ 2021/07/23    240
 551 │ 2021/07/24    244
 552 │ 2021/07/25    263
 553 │ 2021/07/26     83
 554 │ 2021/07/27    458
 555 │ 2021/07/28    270
 556 │ 2021/07/29    262
 557 │ 2021/07/30    347
 558 │ 2021/07/31    300
 559 │ 2021/08/01    162
 560 │ 2021/08/02     76
 561 │ 2021/08/03    442
 562 │ 2021/08/04    243
 563 │ 2021/08/05    318
 564 │ 2021/08/06    234
 565 │ 2021/08/07    348
 566 │ 2021/08/08    289
 567 │ 2021/08/09     68
 568 │ 2021/08/10    374
 569 │ 2021/08/11    262
 570 │ 2021/08/12    255
 571 │ 2021/08/13    220
 572 │ 2021/08/14    281
 573 │ 2021/08/15    135
 574 │ 2021/08/16     90
 575 │ 2021/08/17    428
 576 │ 2021/08/18    249
 577 │ 2021/08/19    257
 578 │ 2021/08/20    263
 579 │ 2021/08/21    279
 580 │ 2021/08/22    113
 581 │ 2021/08/23     90
 582 │ 2021/08/24    327
 583 │ 2021/08/25    201
 584 │ 2021/08/26    244
 585 │ 2021/08/27    229
 586 │ 2021/08/28    664
 587 │ 2021/08/29    227
 588 │ 2021/08/30     90
 589 │ 2021/08/31    319
 590 │ 2021/09/01    245
 591 │ 2021/09/02    291
 592 │ 2021/09/03    249
 593 │ 2021/09/04    251
 594 │ 2021/09/05    121
 595 │ 2021/09/06     87
 596 │ 2021/09/07    363
 597 │ 2021/09/08    284
 598 │ 2021/09/09    282
 599 │ 2021/09/10    207
 600 │ 2021/09/11    350
 601 │ 2021/09/12    127
 602 │ 2021/09/13     94
 603 │ 2021/09/14    526
 604 │ 2021/09/15    288
 605 │ 2021/09/16    276
 606 │ 2021/09/17    270
 607 │ 2021/09/18    300
 608 │ 2021/09/19    127
 609 │ 2021/09/20     60
 610 │ 2021/09/21    488
 611 │ 2021/09/22    258
 612 │ 2021/09/23    288
 613 │ 2021/09/24    236
 614 │ 2021/09/25    287
 615 │ 2021/09/26    131
 616 │ 2021/09/27     92
 617 │ 2021/09/28    413
 618 │ 2021/09/29    720
 619 │ 2021/09/30    267
 620 │ 2021/10/01    254
 621 │ 2021/10/02    258
 622 │ 2021/10/03    124
 623 │ 2021/10/04     94
 624 │ 2021/10/05    348
 625 │ 2021/10/06    181
 626 │ 2021/10/07    219
 627 │ 2021/10/08    253
 628 │ 2021/10/09    305
 629 │ 2021/10/10    116
 630 │ 2021/10/11     89
 631 │ 2021/10/12    426
 632 │ 2021/10/13    209
 633 │ 2021/10/14    419
 634 │ 2021/10/15    253
 635 │ 2021/10/16    264
 636 │ 2021/10/17    108
 637 │ 2021/10/18     77
 638 │ 2021/10/19    354
 639 │ 2021/10/20    206
 640 │ 2021/10/21    281
 641 │ 2021/10/22    277
 642 │ 2021/10/23    258
 643 │ 2021/10/24    400
 644 │ 2021/10/25     80
 645 │ 2021/10/26    391
 646 │ 2021/10/27    351
 647 │ 2021/10/28    279
 648 │ 2021/10/29    267
 649 │ 2021/10/30    270
 650 │ 2021/10/31    104
 651 │ 2021/11/01     98
 652 │ 2021/11/02    382
 653 │ 2021/11/03    159
 654 │ 2021/11/04    287
 655 │ 2021/11/05    252
 656 │ 2021/11/06    247
 657 │ 2021/11/07    115
 658 │ 2021/11/08     66
 659 │ 2021/11/09    367
 660 │ 2021/11/10    235
 661 │ 2021/11/11    396
 662 │ 2021/11/12    231
 663 │ 2021/11/13    272
 664 │ 2021/11/14    301
 665 │ 2021/11/15    121
 666 │ 2021/11/16    362
 667 │ 2021/11/17    166
 668 │ 2021/11/18    309
 669 │ 2021/11/19    286
 670 │ 2021/11/20    246
 671 │ 2021/11/21    108
