*** COUNTS ***
4732×2 DataFrame
  Row │ DP                 N
      │ String31           Int64
──────┼──────────────────────────
  506 │ 1959 Sep               3
  507 │ 1959 Sep 15            1
  508 │ 1959 Sep 5             2
  509 │ 1959 Sep-Oct           2
  510 │ 1960                  18
  511 │ 1960 Apr               3
  512 │ 1960 Apr 21            1
  513 │ 1960 Apr 24            2
  514 │ 1960 Aug               3
  515 │ 1960 Aug 15            1
  516 │ 1960 Dec               4
  517 │ 1960 Dec 12            1
  518 │ 1960 Dec 15            1
  519 │ 1960 Feb               5
  520 │ 1960 Feb 14            1
  521 │ 1960 Feb 18            1
  522 │ 1960 Feb 19            1
  523 │ 1960 Jan              10
  524 │ 1960 Jan 2             1
  525 │ 1960 Jan 23            1
  526 │ 1960 Jan 8-15          1
  527 │ 1960 Jan-Feb           1
  528 │ 1960 Jul               5
  529 │ 1960 Jul 7             1
  530 │ 1960 Jul-Aug           2
  531 │ 1960 Jun               5
  532 │ 1960 Jun 19            1
  533 │ 1960 Jun 2             1
  534 │ 1960 Jun 25            1
  535 │ 1960 Jun 30            1
  536 │ 1960 Mar               1
  537 │ 1960 Mar 1             1
  538 │ 1960 Mar 12            1
  539 │ 1960 Mar 26            1
  540 │ 1960 May               4
  541 │ 1960 May 20            1
  542 │ 1960 May-Jun           3
  543 │ 1960 Nov               3
  544 │ 1960 Nov 23            1
  545 │ 1960 Nov-Dec           1
  546 │ 1960 Oct               3
  547 │ 1960 Oct 15            1
  548 │ 1960 Sep               2
  549 │ 1961                  12
  550 │ 1961 Apr               7
  551 │ 1961 Apr 14            2
  552 │ 1961 Apr 28            2
  553 │ 1961 Aug               1
  554 │ 1961 Aug 12            2
  555 │ 1961 Aug 21            1
  556 │ 1961 Aug 24            1
  557 │ 1961 Aug 5             1
  558 │ 1961 Dec               8
  559 │ 1961 Feb               7
  560 │ 1961 Jan               3
  561 │ 1961 Jan 5             1
  562 │ 1961 Jan-Apr           1
  563 │ 1961 Jul               5
  564 │ 1961 Jul 15            1
  565 │ 1961 Jul 22            1
  566 │ 1961 Jul-Aug           4
  567 │ 1961 Jun               1
  568 │ 1961 Jun 22            1
  569 │ 1961 Jun 23            1
  570 │ 1961 Jun 29            1
  571 │ 1961 Jun-Jul           1
  572 │ 1961 Mar               8
  573 │ 1961 Mar 20            1
  574 │ 1961 Mar 25            2
  575 │ 1961 Mar 30            2
  576 │ 1961 Mar 31            1
  577 │ 1961 Mar-Apr           1
  578 │ 1961 May               8
  579 │ 1961 May 1             1
  580 │ 1961 May 31            2
  581 │ 1961 May 4             1
  582 │ 1961 May 5             2
  583 │ 1961 May-Jun           1
  584 │ 1961 Nov               2
  585 │ 1961 Nov 16            1
  586 │ 1961 Nov 23            1
  587 │ 1961 Nov 5             1
  588 │ 1961 Nov 6             1
  589 │ 1961 Nov-Dec           2
  590 │ 1961 Oct               5
  591 │ 1961 Oct 14            1
  592 │ 1961 Oct 15            2
  593 │ 1961 Oct 7             1
  594 │ 1961 Sep              11
  595 │ 1961 Sep 30            1
  596 │ 1961 Sep 4-6           1
  597 │ 1962                   8
  598 │ 1962 Apr 1             1
  599 │ 1962 Apr 21            1
  600 │ 1962 Apr 27            1
  601 │ 1962 Apr-Jun           1
  602 │ 1962 Aug               1
  603 │ 1962 Aug 11            1
  604 │ 1962 Dec               4
  605 │ 1962 Dec 6             1
  606 │ 1962 Feb               5
  607 │ 1962 Feb 23            1
  608 │ 1962 Feb 24            1
  609 │ 1962 Jan               7
  610 │ 1962 Jan 1             1
  611 │ 1962 Jan 11            1
  612 │ 1962 Jan 15            1
  613 │ 1962 Jan 26            1
  614 │ 1962 Jan-Feb           1
  615 │ 1962 Jan-Mar           1
  616 │ 1962 Jul               5
  617 │ 1962 Jul 13            1
  618 │ 1962 Jul 27            1
  619 │ 1962 Jul-Aug           4
  620 │ 1962 Jul-Sep           1
