*** COUNTS ***
1072×2 DataFrame
  Row │ DP                              N
      │ String31                        Int64
──────┼───────────────────────────────────────
  344 │ 2020 Nov 22                        13
  345 │ 2020 Nov 23                       115
  346 │ 2020 Nov 24                        80
  347 │ 2020 Nov 25                        85
  348 │ 2020 Nov 26                        95
  349 │ 2020 Nov 27                        71
  350 │ 2020 Nov 28                        39
  351 │ 2020 Nov 29                        17
  352 │ 2020 Nov 3                         86
  353 │ 2020 Nov 30                        97
  354 │ 2020 Nov 4                         74
  355 │ 2020 Nov 5                        109
  356 │ 2020 Nov 6                         92
  357 │ 2020 Nov 7                         49
  358 │ 2020 Nov 8                          8
  359 │ 2020 Nov 9                         83
  360 │ 2020 Nov-Dec                      227
  361 │ 2020 Nov/Dec                       52
  362 │ 2020 November/December              1
  363 │ 2020 Oct                         4297
  364 │ 2020 Oct - Dec                     17
  365 │ 2020 Oct - Nov                     14
  366 │ 2020 Oct 1                        436
  367 │ 2020 Oct 10                        45
  368 │ 2020 Oct 11                        12
  369 │ 2020 Oct 12                        68
  370 │ 2020 Oct 13                       106
  371 │ 2020 Oct 14                        71
  372 │ 2020 Oct 15                       141
  373 │ 2020 Oct 16                        73
  374 │ 2020 Oct 17                        17
  375 │ 2020 Oct 18                        16
  376 │ 2020 Oct 19                        54
  377 │ 2020 Oct 2                         91
  378 │ 2020 Oct 20                       122
  379 │ 2020 Oct 21                        89
  380 │ 2020 Oct 22                        75
  381 │ 2020 Oct 23                        96
  382 │ 2020 Oct 24                        22
  383 │ 2020 Oct 25                        25
  384 │ 2020 Oct 26                        69
  385 │ 2020 Oct 27                        91
  386 │ 2020 Oct 28                        43
  387 │ 2020 Oct 29                       100
  388 │ 2020 Oct 3                         27
  389 │ 2020 Oct 30                       106
  390 │ 2020 Oct 31                        67
  391 │ 2020 Oct 4                          8
  392 │ 2020 Oct 5                         56
  393 │ 2020 Oct 6                        109
  394 │ 2020 Oct 7                         59
  395 │ 2020 Oct 8                         70
  396 │ 2020 Oct 9                         71
  397 │ 2020 Oct-Dec                      153
  398 │ 2020 Oct.-Dec.                      4
  399 │ 2020 Oct/Dec                       36
  400 │ 2020 Second Quarter                 4
  401 │ 2020 Sep                         4277
  402 │ 2020 Sep - Oct                    250
  403 │ 2020 Sep 1                        458
  404 │ 2020 Sep 10                        93
  405 │ 2020 Sep 11                        82
  406 │ 2020 Sep 12                        30
  407 │ 2020 Sep 13                        10
  408 │ 2020 Sep 14                        59
  409 │ 2020 Sep 15                       185
  410 │ 2020 Sep 16                        80
  411 │ 2020 Sep 17                        56
  412 │ 2020 Sep 18                        93
  413 │ 2020 Sep 19                        24
  414 │ 2020 Sep 2                         56
  415 │ 2020 Sep 20                        19
  416 │ 2020 Sep 21                        72
  417 │ 2020 Sep 22                        76
  418 │ 2020 Sep 23                        50
  419 │ 2020 Sep 24                        65
  420 │ 2020 Sep 25                       103
  421 │ 2020 Sep 26                        31
  422 │ 2020 Sep 27                        15
  423 │ 2020 Sep 28                        54
  424 │ 2020 Sep 29                        83
  425 │ 2020 Sep 3                         73
  426 │ 2020 Sep 30                        92
  427 │ 2020 Sep 4                         83
  428 │ 2020 Sep 5                         39
  429 │ 2020 Sep 6                         16
  430 │ 2020 Sep 7                         98
  431 │ 2020 Sep 8                         88
  432 │ 2020 Sep 9                         69
  433 │ 2020 Sep-Dec                       69
  434 │ 2020 Sep-Nov                        1
  435 │ 2020 Sep-Oct                      159
  436 │ 2020 Sep-Oct,                       4
  437 │ 2020 Sep/Oct                       51
  438 │ 2020 Sept-Oct                       2
  439 │ 2020 Sept.                          2
  440 │ 2020 September -December            1
  441 │ 2020 September December             4
  442 │ 2020 Spring                        34
  443 │ 2020 Summer                        39
  444 │ 2020 Sup                           27
  445 │ 2020 Third Quarter                  1
  446 │ 2020 Winter                        19
  447 │ 2021                            12990
  448 │ 2021 Abr                            4
  449 │ 2021 Apr                         3571
  450 │ 2021 Apr 1                        497
  451 │ 2021 Apr 10                        60
  452 │ 2021 Apr 11                        17
  453 │ 2021 Apr 12                       103
  454 │ 2021 Apr 13                        96
  455 │ 2021 Apr 14                        87
  456 │ 2021 Apr 15                       161
  457 │ 2021 Apr 16                        83
  458 │ 2021 Apr 17                        44
  459 │ 2021 Apr 18                        19
  460 │ 2021 Apr 19                        91
  461 │ 2021 Apr 2                         56
  462 │ 2021 Apr 20                       160
  463 │ 2021 Apr 21                        74
  464 │ 2021 Apr 22                        93
  465 │ 2021 Apr 23                       110
  466 │ 2021 Apr 24                        55
  467 │ 2021 Apr 25                        22
  468 │ 2021 Apr 26                       107
  469 │ 2021 Apr 27                       115
  470 │ 2021 Apr 28                       122
  471 │ 2021 Apr 29                       128
  472 │ 2021 Apr 3                         47
  473 │ 2021 Apr 30                       164
  474 │ 2021 Apr 4                         14
  475 │ 2021 Apr 5                         73
  476 │ 2021 Apr 6                        125
  477 │ 2021 Apr 7                         92
  478 │ 2021 Apr 8                        110
  479 │ 2021 Apr 9                        106
  480 │ 2021 Apr-Jul                       11
  481 │ 2021 Apr-Jun                      224
  482 │ 2021 Apr-Jun 01                    27
  483 │ 2021 Apr-May                       10
  484 │ 2021 Apr-Sep                       20
  485 │ 2021 Aug                         3433
  486 │ 2021 Aug 1                        355
  487 │ 2021 Aug 10                       100
  488 │ 2021 Aug 11                        62
  489 │ 2021 Aug 12                       110
  490 │ 2021 Aug 13                       126
  491 │ 2021 Aug 14                        42
  492 │ 2021 Aug 15                        68
  493 │ 2021 Aug 16                       123
  494 │ 2021 Aug 17                        99
  495 │ 2021 Aug 18                       113
  496 │ 2021 Aug 19                       103
  497 │ 2021 Aug 2                        170
  498 │ 2021 Aug 20                        84
  499 │ 2021 Aug 21                        58
  500 │ 2021 Aug 22                        22
  501 │ 2021 Aug 23                        95
  502 │ 2021 Aug 24                        68
  503 │ 2021 Aug 25                       104
  504 │ 2021 Aug 26                       127
  505 │ 2021 Aug 27                       127
  506 │ 2021 Aug 28                        68
  507 │ 2021 Aug 29                        23
  508 │ 2021 Aug 3                        111
  509 │ 2021 Aug 30                       130
  510 │ 2021 Aug 31                       145
  511 │ 2021 Aug 4                         86
  512 │ 2021 Aug 5                        101
  513 │ 2021 Aug 6                         87
  514 │ 2021 Aug 7                         48
  515 │ 2021 Aug 8                         16
  516 │ 2021 Aug 9                        120
  517 │ 2021 Aug-Dec                        9
  518 │ 2021 Aug-Sep                       78
  519 │ 2021 Avril                          1
  520 │ 2021 Dec                         4299
  521 │ 2021 Dec 1                        562
  522 │ 2021 Dec 10                       121
  523 │ 2021 Dec 11                        55
  524 │ 2021 Dec 12                        12
  525 │ 2021 Dec 13                       110
  526 │ 2021 Dec 14                       113
  527 │ 2021 Dec 15                       175
  528 │ 2021 Dec 16                       144
  529 │ 2021 Dec 17                       134
  530 │ 2021 Dec 18                        48
  531 │ 2021 Dec 19                        29
  532 │ 2021 Dec 2                        192
  533 │ 2021 Dec 20                       171
  534 │ 2021 Dec 21                       104
  535 │ 2021 Dec 22                       137
  536 │ 2021 Dec 23                       109
  537 │ 2021 Dec 24                        92
  538 │ 2021 Dec 25                        20
  539 │ 2021 Dec 26                        21
